Etapa,Termino,Notificacion,MacroEtapa
PROMOCION,SE ENVIE OFICIO,,
PROMOCION,CONVENIO. RATGIFICAR. UDAPA,,
PROMOCION,AUT  ABOGADOS,,
PROMOCION,SE PREVENGA  A LA PARTE DEMANDADA,,
PROMOCION,SE FIJE FECH,,
PROMOCION,CONTESTACION DE INCIDENTE,,
PROMOCION,SOLICITA PREVENGA,,
PROMOCION,INTEPORNE INCIDENTE,,
PROMOCION,SE ADMITA A TRAMITE INCIDENTE,,
PROMOCION,ALLEGA PETICION,,
PROMOCION,SE DICTE FECHA,,
PROMOCION,ASIGNAR NUMERO,,
PROMOCION,ASUMA COMPETENCIA,,
PROMOCION,ALLEGA   PODER,,
PROMOCION,SE AUTORIZA,,
PROMOCION,DEMANDADA NO SEÑALO DOMICILIO,,
PROMOCION,SOLICITA SE HABILITEN DIAS Y HORAS,,
PROMOCION,ALLGA JUEGOS DE COPIAS DE TRASLADO DE DEMANDA,,
PROMOCION,CUMPLIMIENTO A AUTO,,
PROMOCION,NUEVO EMPLAZAMIENTO SEÑALA DOMICILIO,,
PROMOCION,HABILITAR HORAS Y DIAS,,
PROMOCION,HABILITA HORAS,,
PROMOCION,CONSTANCIA PUBLICACION DE EDICTO # 101999,,
PROMOCION,SE GIREN  OFICIOS DE BUSQUEDA,,
PROMOCION,PROPORCIONA DIOMICILIO,,
PROMOCION,ALLEG AIMPRESION,,
PROMOCION,ACLARA EL ADEUDO,,
PROMOCION,INCIDENTE DE ACTUALIZACION Y CUANTIFICAICON DE INTERESES,,
PROMOCION,SE PREVENGA  A DEMANDADA,,
PROMOCION,SE ENVIA RATIFICAR,,
PROMOCION,EJECUYTORIADA SENTENCIA,,
PROMOCION,TABLO DE AVISOS,,
PROMOCION,DESIGNACION DE PERITO,,
PROMOCION,FAVORABLE PREVENCIÓN,,
PROMOCION,CONSTANCIA PUBLICACION DE EDICTO # 103485,,
PROMOCION,SE GIRE OFICIO FECORDATORIO,,
PROMOCION,CONSTANCIA PUBLICACION DE EDICTO # 106204,,
PROMOCION,CONTESTA OFICIOO INE,,
PROMOCION,DESIGNA REPRESENTANTE,,
PROMOCION,DICTAR FECHA,,
PROMOCION,HAGA PAGA LLANA,,
PROMOCION,DICTAR NUEVA FECHA,,
PROMOCION,APERTURA A PRUEBAS..,,
PROMOCION,CONTESTA A INCIDENTE,,
PROMOCION,CONTESTA  A INCIDENTE,,
PROMOCION,SENTENCIA DEFINITIUVA,,
PROMOCION,SOLICITA APERTURA A PRUEBAS.,,
PROMOCION,ANEXA DOCUMENTOS,,
PROMOCION,SE PROCEDA A EJECUCIÓN DE GARANTIA,,
PROMOCION,ORDENA APERTURA A PRUEBAS,,
PROMOCION,"SOLICITAMOS SE NOS DE BAJA EN EL PRESENTE ASUNTO, SE LE AUTORICE EL ACCESO A LA PAGINA DEL TRIBUNALVIRTUAL",,
PROMOCION,SE GIRE ATENTO OFICIO,,
PROMOCION,AUDIENCIA DE PRUEBAS Y ALEGATOS,,
PROMOCION,SE PREVENGA ENTREGUE DE MANERA VOLUNTARIA,,
PROMOCION,MANIFIETA CONFORMIDAD,,
PROMOCION,INTERPONE RECURSO DE APELACION,,
PROMOCION,ALLEGA DOS PUBLICACIONES DE EDICTO,,
PROMOCION,SE GIRE OFICIOS DE BUSQUEDA,,
PROMOCION,SE FIJE NUEVA FECHA,,
PROMOCION,ALLEGAN PUBLICACIONES,,
PROMOCION,CONSTANCIA PUBLICACION DE EDICTO # 98756,,
PROMOCION,SOLICITA DE NUEVA CUENTA  EDICTOS,,
PROMOCION,SE EXPIDA EDICTOS DE NUEVA CUENTA,,
PROMOCION,SEÑALE DOMICILIO,,
PROMOCION,REACTIVACION DEL EXPEDIENTE,,
PROMOCION,SOLICITA GIRAR OFICIO,,
PROMOCION,INFORMA CONVENIO JUDICIAL,,
PROMOCION,CELEBRAN CONVENIO,,
PROMOCION,ALLEGA  SOBRES CERRADOS,,
PROMOCION,CONTESTA DEMANDA,,
PROMOCION,SOLICITA SE DICTE SENTENCIA,,
PROMOCION,SE DECLARE EJECUTORIA LA SENTENCIA,,
PROMOCION,NOTIFICACIONES POR INSTRUCTIVO,,
PROMOCION,ACLARE,,
PROMOCION,"APERSONAMIENTO, AUTORIZACION TV, AUTORIZA ABOGADOS",,
PROMOCION,SEÑALA DOMICILIO CORRECTO PARA EMPLAZAR,,
PROMOCION,PROMIUEVE INCIDIENTE,,
PROMOCION,CONSTANCIA PUBLICACION DE EDICTO # 101930,,
PROMOCION,PR0MUEVE INCIDENTE,,
PROMOCION,SENTENCIA CUASA EJECUTORIA,,
PROMOCION,ASIGNAR NUEVO DOMICILIO,,
PROMOCION,DESAHOGA VISTA,,
PROMOCION,PRUEBA SUPERVINIENTE,,
PROMOCION,FORMULA REPLICA,,
PROMOCION,PREVENGA A PARTE DEMANDADA PARA CUMPLIMIENTO,,
PROMOCION,SE LE TENGA PORCONTESTANDO EN SENTIDO NEGATIVO,,
PROMOCION,ALLEGA PUBLICACION DE EDICTO,,
PROMOCION,ALLEGA EJEMPLARES,,
PROMOCION,CONSTANCIA PUBLICACION DE EDICTO # 95539,,
PROMOCION,HACE MANIRESTACIONES,,
PROMOCION,ACUERDE ADMISION,,
PROMOCION,EJECUCCION FORZOSA,,
PROMOCION,DESISTE INCIDENTE,,
PROMOCION,ALLEGA COPIAS PARA TRASLADOS,,
PROMOCION,SOLICITA ACCESO AL TRIBUNAL VIRTUAL,,
PROMOCION,ALLEGA  COPIA CERTIFICADA,,
PROMOCION,SE ORDENE EMPLAZAMIENTO,,
PROMOCION,"SE EMPLACE A PARTE DEMANDADA, AUTORIZA ABOGADOS.",,
PROMOCION,SE TRAIGA A LA VISTA INCIDENTE,,
PROMOCION,"SE APERSONA, COPIA CERTIFICADA",,
PROMOCION,NUEVA FECHA,,
PROMOCION,DICTA SENTENCIA,,
PROMOCION,CONTESTA VISTA,,
PROMOCION,DA CONTESTACION,,
PROMOCION,SE GIRE OFICIO A CFE,,
PROMOCION,PROPORCIONADA DATOS DE PARTE DEMANDADA,,
PROMOCION,SOBRE CERRADO,,
PROMOCION,SE AUTORIZA ABOGADO,,
PROMOCION,SE ME TENGA POR PRESENTANDO EL INCIDENTE DE LIQUIDACION DE SUERTE PRINCIPAL,,
PROMOCION,SOLICITA SE AUTORICE EL ACCESO A LA PAGINA DEL TRIBUNAL VITRUAL,,
PROMOCION,SENTENCIA HA CAUSADO EJECUTORIA,,
PROMOCION,RECURSO DE AGRAVIOS,,
PROMOCION,SOLICITO LA DEVOLUCION DE DOCUMENTOS,,
PROMOCION,.,,
PROMOCION,AUTORIZAR ABOGADOS,,
PROMOCION,SE DECLARE QUE HA CAUSADO EJECUTORIA,,
PROMOCION,SOLICITA EJECUCION,,
PROMOCION,SE FIJE FECHA DE NUEVA CUENTA,,
PROMOCION,CADUCIDAD,,
PROMOCION,ACREDITA PERSONALIDAD Y ES ENVIADO A SU UNIDAD PARA RATIFICAR,,
PROMOCION,SE TENGA POR CONTESTANDO EN SENTIDO NEGATIVO Y ALLEGA POSICIONES,,
PROMOCION,INTERPONE INCIDENTE DE ACTUALIZACION,,
PROMOCION,COMUNICA ASIGNACIÓN DE TOCA,,
PROMOCION,SE DICTE    FECHA,,
PROMOCION,SE HABILITEN HORAS Y DIAS,,
PROMOCION,RESPUESTA A OFICIO,,
PROMOCION,PROCEA A EJECUCION,,
PROMOCION,SOLICITA PREVENIR,,
PROMOCION,ALLEGA 3 PUBLICACIONES,,
PROMOCION,ALLEGA ESTADOCUENTA,,
PROMOCION,SE HAGA PAGA LLANA,,
PROMOCION,SE TENGA CONTESTANDO EN SENTIDO NEGATIVO,,
PROMOCION,DA INFORMACION,,
PROMOCION,DEVUELVE TRASLADO,,
PROMOCION,RATIFICACION SE ENVIA A LA U.A.P.A.,,
PROMOCION,INCDIENTE,,
PROMOCION,SE PROCEDA A LA EJECUCCIÓN,,
PROMOCION,SOLICITA NUEVA FECHA,,
PROMOCION,PROMUEVE  INCIDIENTE,,
PROMOCION,ALLEGA 2 OFICIOS,,
PROMOCION,SENTENCIA CAUSE EJECUTORIA,,
PROMOCION,AUTORIZA TRIBUNAL VIRTUAL,,
PROMOCION,PROCEDA A EJECUCIÓN,,
PROMOCION,CUMPLE PREVENCINO,,
PROMOCION,ALEGAR COPIA,,
PROMOCION,RENUNCIA A CARGO.,,
PROMOCION,ALLEGA PUBLICACIONES  -- SE ENVIA A JUZGADO,,
PROMOCION,DECLARE EJECUTORIADA   SENTENCIA,,
PROMOCION,"CONVENIO JUDICIAL, ACREDITA PERSONALIDAD Y ES ENVIADA A SU UNIDAD PARA RATIFICAR",,
PROMOCION,CAUSADO EJECUTORIA LA SENTENCIA,,
PROMOCION,SENTENCIA SE DECLARE EJECUTORIADA,,
PROMOCION,CONTESTAR EN SENTIDO NEGATIVO,,
PROMOCION,MANIFIESTA DOMICILIO,,
PROMOCION,SE GIREN OFICIOS A LAS DIVERSAS DEPENDENCIAS PARA LOCALIZAR DOMICILIO,,
PROMOCION,EJECITORIADA LA SENTENCIA,,
PROMOCION,HABILITACION DE DIAS Y HORAS,,
PROMOCION,MEDIOS DE APREMIO,,
PROMOCION,RESUELVA INCIDENTE,,
PROMOCION,SOLICITA APREVENCIÓN,,
PROMOCION,SOLICITA COPIA CERTIFICADA,,
PROMOCION,ALLEGA TICKET,,
PROMOCION,AVISO POR TABLA,,
PROMOCION,SE FIJE TABLA DE AVISOS,,
PROMOCION,SE DICTE  ADMISION,,
PROMOCION,APERTURA A A PRUEBAS,,
PROMOCION,"CONVENIO, ALLEGA DOCUMENTO",,
PROMOCION,SE GIRE NUEVAMENTE OFICIO A CFE,,
PROMOCION,PROPORCIONA INFORMACION,,
PROMOCION,SE EMPLACE A PARTE DEMANDADA,,
PROMOCION,ALLEGA IMPRESION,,
PROMOCION,ACREDITA PERSONALIDAD Y  ALLEGA PULICACIONES DE EDICTO,,
PROMOCION,ANEXA EDICTOS,,
PROMOCION,CONSTANCIA PUBLICACION DE EDICTO # 95644,,
PROMOCION,ANEXA TRASLADOS,,
PROMOCION,ALLEGA COPIAS CPARA TRASLADOS,,
PROMOCION,SE GESTIONE FOLIO,,
PROMOCION,ALLEGA COIA PARA TRASLADO DE ESCRITO,,
PROMOCION,DEVOLUCION DE PODER,,
PROMOCION,SE CORRIGA AUTO,,
PROMOCION,ACREDITA PERSONALIDDD,,
PROMOCION,SE GIRE OFICIIO,,
PROMOCION,NOTIFICACION POR TABLA DE AVISOS,,
PROMOCION,SOLICITAR SE DECLARE,,
PROMOCION,DEVOLUCION DOCUMENTOS Y EXPEDIENTE,,
PROMOCION,COMUNICA ADMISIÓN DE AMPARO DIRECTO,,
PROMOCION,INFORMA NUMERO DE TOCA,,
PROMOCION,PRESENTA RECURSO DE APELACION,,
PROMOCION,ALLEGA PUBLICACIONES DE EDICTOS EN ABC,,
PROMOCION,COMUNICA PUBLICACIONES DEL EDICTO 105376.,,
PROMOCION,SE AUTORICE ACCESO AL TRIBUNAL VIRTUAL,,
PROMOCION,SE ORDENE FINCADA Y ADJUDICADA  BIEN INMUEBLE,,
PROMOCION,ALLEGA PODER  -- SE ENVIA A  JUZGADO,,
PROMOCION,AUTOPRIZA ABOPGADOS,,
PROMOCION,CERT. GARAVAMEN,,
PROMOCION,PROPORCIONAR CORREOS,,
PROMOCION,SE ELEVE CONVENIO A COSA JUZGADA,,
PROMOCION,SE FIJE FECHA PARA AUIDENCIA,,
PROMOCION,SE GIRE NUEVAMENTE OFICIO,,
PROMOCION,SENTENCIA INTERLOCUTORIOA,,
PROMOCION,SE RINDE INFORME,,
PROMOCION,SE ORDENE FINCADO INMUEBLE,,
PROMOCION,ADJUDIQUE INMUEBLE,,
PROMOCION,ALLEGA CEDULA,,
PROMOCION,SNETENCIA HA CAUSADO EJECUTORIA,,
PROMOCION,CONTESTACION A DEMANDA,,
PROMOCION,ANEXA DOCUMENTOS DE ESCRITO INICIAL,,
PROMOCION,SE TRIAGA A LA VISTA ESCRITO,,
PROMOCION,ALLEGA DOCUMENTAL,,
PROMOCION,EMPLEZAMIENTO,,
PROMOCION,DICTE NUEVA FECHA,,
PROMOCION,CONTESTA A VISTA,,
PROMOCION,ACCESO VIRTUAL Y AUTORISACION,,
PROMOCION,ACREDIATA PERSONALIDAD,,
PROMOCION,HABILITE  HORAS Y DIAS,,
PROMOCION,NOTIFICACIONES POR TABLA DE AVISO,,
PROMOCION,DEVOLUCION DE INSTRUCTIVO,,
PROMOCION,DICTE SENTNECIA,,
PROMOCION,"SE APERSONA, ALLEGA PODER CERTIFICADO 57,946",,
PROMOCION,REMITE EXPEDIENTE Y TOCA DE SALA.,,
PROMOCION,APELACIONES ELECTRONICAS,,
PROMOCION,"ALLEGA PLIEGO DE POSICIONES, AUTORIZA ABOGADO ABC",,
PROMOCION,DE CUMPLIMIENTO PROPORCIONA DATOS,,
PROMOCION,"SOLICITA DEVOLUCION, AUTORIZA ABOGADOS",,
PROMOCION,SE NOTIFIQUE EN TABLA DE AVISOS,,
PROMOCION,"SE GIRE OFICIO AL DIRECTOR DEL INSTITUTO CATASTRAL, SE AUTORICE TRIBUNAL VIRTUAL, SE AUTORICE LICENCIADO",,
PROMOCION,SE APRESON A,,
PROMOCION,REVOCA VIRTUAL,,
PROMOCION,"SE GIRE OFICIO AL DIRECTOR DEL INSTITUTO REGISTRAL, SE AUTORICE TRIBUNAL VIRTUAL, AUTORIZA ABOGADOS",,
PROMOCION,SOLICITA EMBARGO,,
PROMOCION,SOLICITA SEÑALAR BIENES,,
PROMOCION,ALLEA PLIEGO,,
PROMOCION,SE GIRE OFICIO RECORDATORIO,,
PROMOCION,ALLE PLIEGOS DE POSICIONES,,
PROMOCION,RECONVENCION,,
PROMOCION,SE ATRIAGA LA VISTA PROMOCION,,
PROMOCION,SE  PREVENGA A  DEMANDADA,,
PROMOCION,ASIGNAR EXPEDIENTE,,
PROMOCION,SE DA POR  NOTIFICADO,,
PROMOCION,SE GIRFE OFICIO,,
PROMOCION,SE REMITA  CERTIFICADO,,
PROMOCION,DÁ CUMPLIMIENTO,,
PROMOCION,TRIBUINAL VIRTUAL,,
PROMOCION,SEÑALA DOMICLIO,,
PROMOCION,CALIFIQUE  PRUEBAS,,
PROMOCION,SE  HABILITEN DIAS,,
PROMOCION,PREVENGA A PARTE DEMANDADA PARA QUE HAGA PAGO LLANA,,
PROMOCION,CONSTANCIA PUBLICACION DE EDICTO # 98452,,
PROMOCION,ALLEGAR COPIA,,
PROMOCION,SE PROCEDA  A EJECUCION,,
PROMOCION,SE DECLARE EJECUTORIA LA  SENTENCIA,,
PROMOCION,ACREDITA PERSONLIDAD,,
PROMOCION,AUTORIZACIOM DE ABOGADO,,
PROMOCION,DEVOLUCION DE DOCUMENTOS.,,
PROMOCION,ACUERDE SOLICITUD,,
PROMOCION,HABILIE DIAS YHORAS,,
PROMOCION,SE PREVENGA LA PARTE DEMANDADA,,
PROMOCION,SOLICITA SENTENCIA,,
PROMOCION,SOLICITA SE PROCEDA A LA EJECUCION FORZOSA DE LA GARANTIA HIPOTECARIA,,
PROMOCION,SE DECRETE EJECUTORIADA LA SENTENCIA DEFINITIVA.,,
PROMOCION,PROMUIEVE INCIDENTE,,
PROMOCION,SE DICTE AUTO,,
PROMOCION,CONSTANCIA PUBLICACION DE EDICTO # 104261,,
PROMOCION,NOMBRA PERITO,,
PROMOCION,VISTA CERTIFICADO,,
PROMOCION,VISTO DE ESCRITO,,
PROMOCION,NOMBRA PERITO Y SOLICITA PREVENCIÓN,,
PROMOCION,ALLEGA CERTIFICADO DE GRAVAMENES  Y SEÑALA PERITO,,
PROMOCION,DESISTE DE ESCRITO,,
PROMOCION,SEÑALA  FECHA,,
PROMOCION,SE ME TENGA PO PRESENTADO INCIDENTE DE LIQUIDACION,,
PROMOCION,EJEUCUCION DE GARANTIA,,
PROMOCION,"SE TENGA A DEMANDADA CONTESTANDO EN SENTIDO NEGATIVO, ANEXA SOBRE CERRADO",,
PROMOCION,"SE TENGA A DEMANDADA CONTESTANDO EN SENTIDO NEGATIVO,",,
PROMOCION,SE PREVENGA A LA PARTE DE MANDADA,,
PROMOCION,COMUNICA PUBLICACIONES DEL EDICTO 105377.,,
PROMOCION,SEÑALA NUEVO DOMICILIO PARA EMPLAZAR,,
PROMOCION,SE HABILITAN HORAS,,
PROMOCION,SE ACREDITA,,
PROMOCION,SE GIREBN OFICIOS,,
PROMOCION,ALLEGA  COPIA SIMPLE DE  PODER,,
PROMOCION,SE HABILITEN HORAS,,
PROMOCION,SE DICTE SENRTENCIA,,
PROMOCION,SE HAGA EFECTIVO APERCIBIMIENTO,,
PROMOCION,SOLICITA EMPLAZAMIENTO POR EDICTOS,,
PROMOCION,HABILITE DIAS Y HORAS PARA EMPLAZAMIENTO,,
PROMOCION,EMPLAZAMINIENTO POR EDICTOS,,
PROMOCION,SE GIREN OFICIOS DE  BUSQUEDA,,
PROMOCION,ALLEGA GRAVAMENS,,
PROMOCION,SE DESIGNE PERITO,,
PROMOCION,SOLICITA CAUSE EJECUTORIA SENTENCIA DEFINITIVA.,,
PROMOCION,SOLICITA SE TENGA A LA PARTE DEMANDADA CONTESTANDO EN SENTIDO NEGATIVO,,
PROMOCION,SOLICITAN SE GIREN OFICIO,,
PROMOCION,REMIRE OFICIO,,
PROMOCION,SE GIRE OFICIO A NOTARIA,,
PROMOCION,SE ENVIA JUZGADO,,
PROMOCION,EDITCOS BOLETIN,,
PROMOCION,SOLICITA NOTIFICACION POR TABLA DE AVISOS,,
PROMOCION,ACCESO VIRTUAL Y PERSONALIDAD,,
PROMOCION,DVOLUCION DE DOCUMENTOS,,
PROMOCION,SE PORCEDA A LA EJECUCIÓN FORZOSA,,
PROMOCION,DICTAR SENTENCIA,,
PROMOCION,INCIDENTE DE ACTUALIZACION Y CUANTIFICACION  DE INTERESES,,
PROMOCION,SE  PREVENGA PARTE DEMANDADA,,
PROMOCION,ANEXA COPIA DE TRASLADO,,
PROMOCION,ALELEG ATRASLADO,,
PROMOCION,SENTECIA CAUSA EJECTORIA,,
PROMOCION,SE ENTREGUEN BILLETES,,
PROMOCION,ENTREGA DE CERTIFICADOS,,
PROMOCION,SE ENTREGUE CERTIFICADO,,
PROMOCION,SE LE ENTREGUE CERTIFICADO,,
PROMOCION,"CONTESTA OFICIO, JUZGADO",,
PROMOCION,SE ACUERDE ESCRITO,,
PROMOCION,OFICIO A TESORERIA EL EDO,,
PROMOCION,SE LE TENGA COMO REPRESENTANTE,,
PROMOCION,ALLEGA  ESCRITURA,,
PROMOCION,CONFORMIDAD,,
PROMOCION,VISTA A INFONAVIT,,
PROMOCION,PARTICION DE BILLETES,,
PROMOCION,"CERTIFICADO DE DEPOSITO, JUZGADO",,
PROMOCION,AVALUOS A LA VISTA,,
PROMOCION,PERITO EN REBELDIA,,
PROMOCION,ALLEGA CONSTANCIA DE INSCRIPCION DE EMBARGO,,
PROMOCION,DECLARAR INMUEBLE COMO EMBARGADO,,
PROMOCION,SE TRAIGA ESCRITO A LA VISTA,,
PROMOCION,SOLICITA SE PREVENGA DEMANDADA,,
PROMOCION,RATIFICAR. ENV. AL JUZ.,,
PROMOCION,ALLEGA DOCUMENTALES,,
PROMOCION,EJECUTORIA SENTENCIA,,
PROMOCION,SE PROCEDAA LA EJECUCION,,
PROMOCION,INCIDENTE INTERESES,,
PROMOCION,ALLEGA UNA PUBLICACION DE EDICTO,,
PROMOCION,SOLICITA SEA DICTADA SENTENCIA IINTERLOCUTORIA,,
PROMOCION,SE NOTIFIQUE CORRECTAMENTE A PARTE DEMANDADA,,
PROMOCION,SE TENGA POR CONTESTADO EN SENTIDO NEGATIVO A LA PARTE DEMANDADA,,
PROMOCION,"CONVENIO, ALLEGA PODER",,
PROMOCION,COMUNICA PUBLICACIONES DEL EDICTO 101175.,,
PROMOCION,COMUNICA PUBLICACIONES DEL EDICTO 101173.,,
PROMOCION,SOLICITA HORAS Y DIAS INHABILES PARA NOTIFICAR Y TRIBUNAL VIRTUAL,,
PROMOCION,SE ME TENGA PRESENTANDO INCIDENTE DE LIQUIDACION,,
PROMOCION,COMUNICA PUBLICACIONES DEL EDICTO 101180.,,
PROMOCION,SE ENVIE NUEVAMENTE OFICIO A GA NATURAL MEXICO,,
PROMOCION,HABILITACION DE HORARIO,,
PROMOCION DEL TV,PROMOCIÓN DE TRÁMITES EN LÍNEA,,
PROMOCION DEL TV,PROMOCIÓN OFICIO ELECTRÓNICO DE DEPENDENCIA.,,
PROMOCION DEL TV,PROMOCIÓN DEL TRIBUNAL VIRTUAL,,
PROMOCION DEL TV,PROMOCIÓN OFICIO DE JUZGADO,,
PRUEBAS,DESAHOGA AUDIENCIA,,04. Emplazamiento sin sentencia
PRUEBAS,APERTURA A PRUEBAS,,04. Emplazamiento sin sentencia
PRUEBAS,FECHA PARA AUDIENCIA,SOLICITADA,04. Emplazamiento sin sentencia
PRUEBAS,SEÑALA FECHA,,04. Emplazamiento sin sentencia
PRUEBAS,FECHA PARA AUDIENCIA,NO NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,ACUERDA PRUEBAS,,04. Emplazamiento sin sentencia
PRUEBAS,FECHA PARA AUDIENCIA,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,SE APERSONA. FECHA PARA AUDIENCIA,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,ACUERDA PRUEBAS,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,FECHA PARA DESAHOGO,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,APERTURA A PRUEBAS,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,FECHA PARA AUDIENCIA,,04. Emplazamiento sin sentencia
PRUEBAS,CONTESTA EN SENTIDO NEGATIVO. FIJA FECHA PARA AUDIENCIA,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,SE SEÑALA FECHA PARA AUDIENCIA DE PRUEBAS Y ALEGATOS,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,ACUERDA PRUEBAS/PREVENCION,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,DESAHOGO DE AUDIENCIA,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,AUDIENCIA DE PRUEBAS Y ALEGATOS,,04. Emplazamiento sin sentencia
PRUEBAS,SE FIJA FECHA PARA PRUEBAS Y ALEGATOS,,04. Emplazamiento sin sentencia
PRUEBAS,AUDIENCIA,,04. Emplazamiento sin sentencia
PRUEBAS,SEÑALA FECHA AUDIENCIA PRUEBAS Y ALEGATOS.,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,SEÑALA FECHA,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,APERTURA A PRUEBAS,SOLICITADA,04. Emplazamiento sin sentencia
PRUEBAS,INCOMPARECENCIA,,04. Emplazamiento sin sentencia
PRUEBAS,ALLEGA DATOS/SE SEÑALA FECHA PARA AUDIENCIA DE PRUEBAS Y ALEGATOS,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,ALLEGA SOBRE CERRADO Y DOCUMENTOS,,04. Emplazamiento sin sentencia
PRUEBAS,SUSPENDE AUDIENCIA,,04. Emplazamiento sin sentencia
PRUEBAS,AUDIENCIA DE DESAHOGO DE PRUEBAS Y OFRECIMIENTO DE ALEGATOS,,04. Emplazamiento sin sentencia
PRUEBAS,ACTA DE AUDIENCIA DE PRUEBAS Y ALEGATOS,,04. Emplazamiento sin sentencia
PRUEBAS,CALIFICACION DE PRUEBAS,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,ACUERDA PRUEBAS,NO NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,ALLEGA SOBRE CERRADO,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,DESAHOGO DE AUDIENCIA,,04. Emplazamiento sin sentencia
PRUEBAS,CONTESTA EN SENTIDO NEGATIVO. FIJA FECHA PARA AUDIENIA,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,DIFIERE AUDIENCIA,,04. Emplazamiento sin sentencia
PRUEBAS,ALLEGA PLIEGO,,04. Emplazamiento sin sentencia
PRUEBAS,FIJA FECHA PARA AUDIENCIA PRUEBAS Y ALEGATOS.,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,ACUERDA PRUEBAS/ SEÑALA FECHA PARA  AUDIENCIA DE PRUEBAS Y ALEGATOS,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,ACUERDA PRUEBAS,SOLICITADA,04. Emplazamiento sin sentencia
PRUEBAS,FECHA PARA DESAHOGO,SOLICITADA,04. Emplazamiento sin sentencia
PRUEBAS,CALIFICACIÓN DE PRUEBAS,,04. Emplazamiento sin sentencia
PRUEBAS,FECHA PARA AUDIENCIA. ALLEGA SOBRES CERRADOS,,04. Emplazamiento sin sentencia
PRUEBAS,ACUERDA PRUEBAS/ NOTIFICACIONES POR ESTRADOS,,04. Emplazamiento sin sentencia
PRUEBAS,FIJA FECHA PARA PRUEBAS Y ALEGATOS,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,PREVENCION,,04. Emplazamiento sin sentencia
PRUEBAS,CALIFICACION DE PRUEBAS,,04. Emplazamiento sin sentencia
PRUEBAS,FIJA FECHA. EFECTIVO APERCIBIMIENTO,,04. Emplazamiento sin sentencia
PRUEBAS,FIJA FECHA PARA PRUEBAS Y ALEGATOS,,04. Emplazamiento sin sentencia
PRUEBAS,SEÑALA NUEVA FECHA,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,DESAHOGA VISTA,,04. Emplazamiento sin sentencia
PRUEBAS,ORDENA VISTA,,04. Emplazamiento sin sentencia
PRUEBAS,ALLEGA ACUSE,,04. Emplazamiento sin sentencia
PRUEBAS,ORDENA OFICIO RECORDATORIO,SOLICITADA,04. Emplazamiento sin sentencia
PRUEBAS,ADMITE PRUEBAS SUPERVENIENTES,SOLICITADA,04. Emplazamiento sin sentencia
PRUEBAS,VIDEO,,04. Emplazamiento sin sentencia
PRUEBAS,ACTA DE INCOMPARECENCIA,,04. Emplazamiento sin sentencia
PRUEBAS,SE ACUERDAN PRUEBAS PREVENCION,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,FECHA PARA DESAHOGO,,04. Emplazamiento sin sentencia
PRUEBAS,SE ACUERDAN PRUEBAS / PREVENCION,,04. Emplazamiento sin sentencia
PRUEBAS,FECHA PARA AUDIENCIA. ALLEGA SOBRES CERRADOS,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
PRUEBAS,ALLEGA SOBRE CERRADO,,04. Emplazamiento sin sentencia
PRUEBAS,FIJA FECHA PARA AUDIENCIA ORAL,,04. Emplazamiento sin sentencia
PRUEBAS,DESAHOGO DE AUDIENCIA DE PRUEBAS Y ALEGATOS,,04. Emplazamiento sin sentencia
PRUEBAS,AUDIENCIA DE PRUEBAS Y A LEGATOS,,04. Emplazamiento sin sentencia
PRUEBAS,FIJA FECHA PARA AUDIENCIA DE PRUEBAS Y ALEGATOS,,04. Emplazamiento sin sentencia
PRUEBAS,ACTA AUDIENCIA,,04. Emplazamiento sin sentencia
PRUEBAS,PRUEBAS Y ALEGATOS,,04. Emplazamiento sin sentencia
PRUEBAS,SE SEÑALA FECHA A P Y A,NOTIFICADA/TERMINADA,04. Emplazamiento sin sentencia
